timestamp_s,src,dst,protocolo,ip_len,info
1779630900.026259,,,UDP,63,"1779630900.026259 IP (tos 0x0, ttl 64, id 58644, offset 0, flags [DF], proto UDP (17), length 63)"
1779630900.036614,,,UDP,36,"1779630900.036614 IP (tos 0x0, ttl 64, id 32428, offset 0, flags [DF], proto UDP (17), length 36)"
1779630900.078544,,,UDP,1500,"1779630900.078544 IP (tos 0x0, ttl 64, id 58647, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.099870,,,UDP,1500,"1779630900.099870 IP (tos 0x0, ttl 64, id 58657, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.101198,,,UDP,1500,"1779630900.101198 IP (tos 0x0, ttl 64, id 58658, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.110025,,,UDP,29,"1779630900.110025 IP (tos 0x0, ttl 64, id 32435, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.110682,,,UDP,1500,"1779630900.110682 IP (tos 0x0, ttl 64, id 58659, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.110883,,,UDP,29,"1779630900.110883 IP (tos 0x0, ttl 64, id 32436, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.111617,,,UDP,1500,"1779630900.111617 IP (tos 0x0, ttl 64, id 58660, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.111804,,,UDP,29,"1779630900.111804 IP (tos 0x0, ttl 64, id 32437, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.112436,,,UDP,1500,"1779630900.112436 IP (tos 0x0, ttl 64, id 58661, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.113250,,,UDP,1500,"1779630900.113250 IP (tos 0x0, ttl 64, id 58662, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.121690,,,UDP,29,"1779630900.121690 IP (tos 0x0, ttl 64, id 32439, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.122387,,,UDP,29,"1779630900.122387 IP (tos 0x0, ttl 64, id 32440, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.123233,,,UDP,29,"1779630900.123233 IP (tos 0x0, ttl 64, id 32441, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.124090,,,UDP,29,"1779630900.124090 IP (tos 0x0, ttl 64, id 32442, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.132434,,,UDP,1500,"1779630900.132434 IP (tos 0x0, ttl 64, id 58663, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.133455,,,UDP,1500,"1779630900.133455 IP (tos 0x0, ttl 64, id 58664, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.134154,,,UDP,1500,"1779630900.134154 IP (tos 0x0, ttl 64, id 58665, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.134861,,,UDP,1500,"1779630900.134861 IP (tos 0x0, ttl 64, id 58666, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.135530,,,UDP,1500,"1779630900.135530 IP (tos 0x0, ttl 64, id 58667, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.136096,,,UDP,1500,"1779630900.136096 IP (tos 0x0, ttl 64, id 58668, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.136631,,,UDP,1500,"1779630900.136631 IP (tos 0x0, ttl 64, id 58669, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.137127,,,UDP,1500,"1779630900.137127 IP (tos 0x0, ttl 64, id 58670, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.143606,,,UDP,29,"1779630900.143606 IP (tos 0x0, ttl 64, id 32445, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.144219,,,UDP,29,"1779630900.144219 IP (tos 0x0, ttl 64, id 32446, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.144684,,,UDP,1500,"1779630900.144684 IP (tos 0x0, ttl 64, id 58672, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.144839,,,UDP,29,"1779630900.144839 IP (tos 0x0, ttl 64, id 32447, offset 0, flags [DF], proto UDP (17), length 29)"
1779630900.145409,,,UDP,1500,"1779630900.145409 IP (tos 0x0, ttl 64, id 58673, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.145486,,,UDP,30,"1779630900.145486 IP (tos 0x0, ttl 64, id 32448, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.145976,,,UDP,30,"1779630900.145976 IP (tos 0x0, ttl 64, id 32449, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.145984,,,UDP,1500,"1779630900.145984 IP (tos 0x0, ttl 64, id 58674, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.146618,,,UDP,30,"1779630900.146618 IP (tos 0x0, ttl 64, id 32450, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.147169,,,UDP,30,"1779630900.147169 IP (tos 0x0, ttl 64, id 32451, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.147669,,,UDP,30,"1779630900.147669 IP (tos 0x0, ttl 64, id 32452, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.155517,,,UDP,30,"1779630900.155517 IP (tos 0x0, ttl 64, id 32453, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.155935,,,UDP,30,"1779630900.155935 IP (tos 0x0, ttl 64, id 32454, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.156400,,,UDP,30,"1779630900.156400 IP (tos 0x0, ttl 64, id 32455, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.171865,,,UDP,1500,"1779630900.171865 IP (tos 0x0, ttl 64, id 58679, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.173248,,,UDP,1500,"1779630900.173248 IP (tos 0x0, ttl 64, id 58680, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.174366,,,UDP,1500,"1779630900.174366 IP (tos 0x0, ttl 64, id 58681, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.175635,,,UDP,1500,"1779630900.175635 IP (tos 0x0, ttl 64, id 58682, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.176784,,,UDP,1500,"1779630900.176784 IP (tos 0x0, ttl 64, id 58683, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.177370,,,UDP,1500,"1779630900.177370 IP (tos 0x0, ttl 64, id 58684, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.177894,,,UDP,1500,"1779630900.177894 IP (tos 0x0, ttl 64, id 58685, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.178584,,,UDP,1500,"1779630900.178584 IP (tos 0x0, ttl 64, id 58686, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.183321,,,UDP,30,"1779630900.183321 IP (tos 0x0, ttl 64, id 32459, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.184024,,,UDP,30,"1779630900.184024 IP (tos 0x0, ttl 64, id 32460, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.184245,,,UDP,1500,"1779630900.184245 IP (tos 0x0, ttl 64, id 58688, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.185067,,,UDP,30,"1779630900.185067 IP (tos 0x0, ttl 64, id 32461, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.185205,,,UDP,1500,"1779630900.185205 IP (tos 0x0, ttl 64, id 58689, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.185873,,,UDP,1500,"1779630900.185873 IP (tos 0x0, ttl 64, id 58690, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.187363,,,UDP,30,"1779630900.187363 IP (tos 0x0, ttl 64, id 32462, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.187979,,,UDP,30,"1779630900.187979 IP (tos 0x0, ttl 64, id 32463, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.188405,,,UDP,1500,"1779630900.188405 IP (tos 0x0, ttl 64, id 58691, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.188420,,,UDP,30,"1779630900.188420 IP (tos 0x0, ttl 64, id 32464, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.188955,,,UDP,30,"1779630900.188955 IP (tos 0x0, ttl 64, id 32465, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.189252,,,UDP,1500,"1779630900.189252 IP (tos 0x0, ttl 64, id 58692, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.189294,,,UDP,30,"1779630900.189294 IP (tos 0x0, ttl 64, id 32466, offset 0, flags [DF], proto UDP (17), length 30)"
1779630900.189791,,,UDP,1500,"1779630900.189791 IP (tos 0x0, ttl 64, id 58693, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.190451,,,UDP,1500,"1779630900.190451 IP (tos 0x0, ttl 64, id 58694, offset 0, flags [+], proto UDP (17), length 1500)"
1779630900.191406,,,UDP,1500,"1779630900.191406 IP (tos 0x0, ttl 64, id 58695, offset 0, flags [+], proto UDP (17), length 1500)"
