timestamp_s,src,dst,protocolo,ip_len,info
1779594329.675984,,,UDP,63,"1779594329.675984 IP (tos 0x0, ttl 64, id 40536, offset 0, flags [DF], proto UDP (17), length 63)"
1779594330.178968,,,UDP,63,"1779594330.178968 IP (tos 0x0, ttl 64, id 40562, offset 0, flags [DF], proto UDP (17), length 63)"
1779594330.229724,,,UDP,36,"1779594330.229724 IP (tos 0x0, ttl 64, id 14500, offset 0, flags [DF], proto UDP (17), length 36)"
1779594330.231855,,,UDP,1500,"1779594330.231855 IP (tos 0x0, ttl 64, id 40575, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.233228,,,UDP,1500,"1779594330.233228 IP (tos 0x0, ttl 64, id 40576, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.234858,,,UDP,1500,"1779594330.234858 IP (tos 0x0, ttl 64, id 40577, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.236170,,,UDP,1500,"1779594330.236170 IP (tos 0x0, ttl 64, id 40578, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.237352,,,UDP,1500,"1779594330.237352 IP (tos 0x0, ttl 64, id 40579, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.238283,,,UDP,1500,"1779594330.238283 IP (tos 0x0, ttl 64, id 40580, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.239029,,,UDP,1500,"1779594330.239029 IP (tos 0x0, ttl 64, id 40581, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.239816,,,UDP,1500,"1779594330.239816 IP (tos 0x0, ttl 64, id 40582, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.282641,,,UDP,29,"1779594330.282641 IP (tos 0x0, ttl 64, id 14512, offset 0, flags [DF], proto UDP (17), length 29)"
1779594330.284333,,,UDP,1500,"1779594330.284333 IP (tos 0x0, ttl 64, id 40586, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.286313,,,UDP,29,"1779594330.286313 IP (tos 0x0, ttl 64, id 14514, offset 0, flags [DF], proto UDP (17), length 29)"
1779594330.287274,,,UDP,29,"1779594330.287274 IP (tos 0x0, ttl 64, id 14515, offset 0, flags [DF], proto UDP (17), length 29)"
1779594330.288131,,,UDP,1500,"1779594330.288131 IP (tos 0x0, ttl 64, id 40587, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.288114,,,UDP,29,"1779594330.288114 IP (tos 0x0, ttl 64, id 14516, offset 0, flags [DF], proto UDP (17), length 29)"
1779594330.289014,,,UDP,29,"1779594330.289014 IP (tos 0x0, ttl 64, id 14517, offset 0, flags [DF], proto UDP (17), length 29)"
1779594330.289242,,,UDP,1500,"1779594330.289242 IP (tos 0x0, ttl 64, id 40588, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.289664,,,UDP,29,"1779594330.289664 IP (tos 0x0, ttl 64, id 14518, offset 0, flags [DF], proto UDP (17), length 29)"
1779594330.290195,,,UDP,1500,"1779594330.290195 IP (tos 0x0, ttl 64, id 40589, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.290653,,,UDP,29,"1779594330.290653 IP (tos 0x0, ttl 64, id 14519, offset 0, flags [DF], proto UDP (17), length 29)"
1779594330.291130,,,UDP,1500,"1779594330.291130 IP (tos 0x0, ttl 64, id 40590, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.291959,,,UDP,1500,"1779594330.291959 IP (tos 0x0, ttl 64, id 40591, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.292689,,,UDP,1500,"1779594330.292689 IP (tos 0x0, ttl 64, id 40592, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.293398,,,UDP,1500,"1779594330.293398 IP (tos 0x0, ttl 64, id 40593, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.335782,,,UDP,29,"1779594330.335782 IP (tos 0x0, ttl 64, id 14529, offset 0, flags [DF], proto UDP (17), length 29)"
1779594330.337012,,,UDP,1500,"1779594330.337012 IP (tos 0x0, ttl 64, id 40601, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.339366,,,UDP,29,"1779594330.339366 IP (tos 0x0, ttl 64, id 14530, offset 0, flags [DF], proto UDP (17), length 29)"
1779594330.340096,,,UDP,30,"1779594330.340096 IP (tos 0x0, ttl 64, id 14531, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.340527,,,UDP,1500,"1779594330.340527 IP (tos 0x0, ttl 64, id 40602, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.341091,,,UDP,30,"1779594330.341091 IP (tos 0x0, ttl 64, id 14532, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.341256,,,UDP,1500,"1779594330.341256 IP (tos 0x0, ttl 64, id 40603, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.341794,,,UDP,1500,"1779594330.341794 IP (tos 0x0, ttl 64, id 40604, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.341822,,,UDP,30,"1779594330.341822 IP (tos 0x0, ttl 64, id 14533, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.342478,,,UDP,1500,"1779594330.342478 IP (tos 0x0, ttl 64, id 40605, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.342480,,,UDP,30,"1779594330.342480 IP (tos 0x0, ttl 64, id 14534, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.343097,,,UDP,1500,"1779594330.343097 IP (tos 0x0, ttl 64, id 40606, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.344145,,,UDP,30,"1779594330.344145 IP (tos 0x0, ttl 64, id 14536, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.345191,,,UDP,1500,"1779594330.345191 IP (tos 0x0, ttl 64, id 40607, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.345955,,,UDP,1500,"1779594330.345955 IP (tos 0x0, ttl 64, id 40608, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.392106,,,UDP,30,"1779594330.392106 IP (tos 0x0, ttl 64, id 14544, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.392546,,,UDP,30,"1779594330.392546 IP (tos 0x0, ttl 64, id 14545, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.393242,,,UDP,30,"1779594330.393242 IP (tos 0x0, ttl 64, id 14546, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.393878,,,UDP,30,"1779594330.393878 IP (tos 0x0, ttl 64, id 14547, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.394104,,,UDP,1500,"1779594330.394104 IP (tos 0x0, ttl 64, id 40617, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.395740,,,UDP,1500,"1779594330.395740 IP (tos 0x0, ttl 64, id 40618, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.395946,,,UDP,30,"1779594330.395946 IP (tos 0x0, ttl 64, id 14548, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.396661,,,UDP,30,"1779594330.396661 IP (tos 0x0, ttl 64, id 14549, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.397148,,,UDP,1500,"1779594330.397148 IP (tos 0x0, ttl 64, id 40619, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.398629,,,UDP,1500,"1779594330.398629 IP (tos 0x0, ttl 64, id 40620, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.400094,,,UDP,1500,"1779594330.400094 IP (tos 0x0, ttl 64, id 40621, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.401167,,,UDP,1500,"1779594330.401167 IP (tos 0x0, ttl 64, id 40622, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.402003,,,UDP,1500,"1779594330.402003 IP (tos 0x0, ttl 64, id 40623, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.402833,,,UDP,1500,"1779594330.402833 IP (tos 0x0, ttl 64, id 40624, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.445807,,,UDP,30,"1779594330.445807 IP (tos 0x0, ttl 64, id 14553, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.446996,,,UDP,30,"1779594330.446996 IP (tos 0x0, ttl 64, id 14554, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.447698,,,UDP,1500,"1779594330.447698 IP (tos 0x0, ttl 64, id 40632, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.448381,,,UDP,30,"1779594330.448381 IP (tos 0x0, ttl 64, id 14555, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.449176,,,UDP,1500,"1779594330.449176 IP (tos 0x0, ttl 64, id 40633, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.449925,,,UDP,30,"1779594330.449925 IP (tos 0x0, ttl 64, id 14556, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.450333,,,UDP,1500,"1779594330.450333 IP (tos 0x0, ttl 64, id 40634, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.451040,,,UDP,30,"1779594330.451040 IP (tos 0x0, ttl 64, id 14557, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.451724,,,UDP,1500,"1779594330.451724 IP (tos 0x0, ttl 64, id 40635, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.452886,,,UDP,1500,"1779594330.452886 IP (tos 0x0, ttl 64, id 40636, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.452890,,,UDP,30,"1779594330.452890 IP (tos 0x0, ttl 64, id 14559, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.453320,,,UDP,30,"1779594330.453320 IP (tos 0x0, ttl 64, id 14560, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.453953,,,UDP,1500,"1779594330.453953 IP (tos 0x0, ttl 64, id 40637, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.454935,,,UDP,1500,"1779594330.454935 IP (tos 0x0, ttl 64, id 40638, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.455658,,,UDP,1500,"1779594330.455658 IP (tos 0x0, ttl 64, id 40639, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.498983,,,UDP,30,"1779594330.498983 IP (tos 0x0, ttl 64, id 14564, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.499979,,,UDP,1500,"1779594330.499979 IP (tos 0x0, ttl 64, id 40649, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.500169,,,UDP,30,"1779594330.500169 IP (tos 0x0, ttl 64, id 14565, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.500928,,,UDP,1500,"1779594330.500928 IP (tos 0x0, ttl 64, id 40650, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.501374,,,UDP,30,"1779594330.501374 IP (tos 0x0, ttl 64, id 14566, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.502152,,,UDP,1500,"1779594330.502152 IP (tos 0x0, ttl 64, id 40651, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.502703,,,UDP,30,"1779594330.502703 IP (tos 0x0, ttl 64, id 14567, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.503539,,,UDP,1500,"1779594330.503539 IP (tos 0x0, ttl 64, id 40652, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.503680,,,UDP,30,"1779594330.503680 IP (tos 0x0, ttl 64, id 14568, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.504356,,,UDP,1500,"1779594330.504356 IP (tos 0x0, ttl 64, id 40653, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.504817,,,UDP,30,"1779594330.504817 IP (tos 0x0, ttl 64, id 14569, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.505582,,,UDP,1500,"1779594330.505582 IP (tos 0x0, ttl 64, id 40654, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.505639,,,UDP,30,"1779594330.505639 IP (tos 0x0, ttl 64, id 14570, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.506207,,,UDP,30,"1779594330.506207 IP (tos 0x0, ttl 64, id 14571, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.506338,,,UDP,1500,"1779594330.506338 IP (tos 0x0, ttl 64, id 40655, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.507022,,,UDP,1500,"1779594330.507022 IP (tos 0x0, ttl 64, id 40656, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.550811,,,UDP,30,"1779594330.550811 IP (tos 0x0, ttl 64, id 14580, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.551462,,,UDP,30,"1779594330.551462 IP (tos 0x0, ttl 64, id 14581, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.551659,,,UDP,1500,"1779594330.551659 IP (tos 0x0, ttl 64, id 40667, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.552264,,,UDP,1500,"1779594330.552264 IP (tos 0x0, ttl 64, id 40668, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.552819,,,UDP,30,"1779594330.552819 IP (tos 0x0, ttl 64, id 14582, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.553492,,,UDP,1500,"1779594330.553492 IP (tos 0x0, ttl 64, id 40669, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.554244,,,UDP,30,"1779594330.554244 IP (tos 0x0, ttl 64, id 14583, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.554864,,,UDP,1500,"1779594330.554864 IP (tos 0x0, ttl 64, id 40670, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.555039,,,UDP,30,"1779594330.555039 IP (tos 0x0, ttl 64, id 14584, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.555767,,,UDP,1500,"1779594330.555767 IP (tos 0x0, ttl 64, id 40671, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.556168,,,UDP,30,"1779594330.556168 IP (tos 0x0, ttl 64, id 14585, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.556791,,,UDP,1500,"1779594330.556791 IP (tos 0x0, ttl 64, id 40672, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.556860,,,UDP,30,"1779594330.556860 IP (tos 0x0, ttl 64, id 14586, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.557385,,,UDP,30,"1779594330.557385 IP (tos 0x0, ttl 64, id 14587, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.557555,,,UDP,1500,"1779594330.557555 IP (tos 0x0, ttl 64, id 40673, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.558047,,,UDP,1500,"1779594330.558047 IP (tos 0x0, ttl 64, id 40674, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.603210,,,UDP,30,"1779594330.603210 IP (tos 0x0, ttl 64, id 14593, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.604116,,,UDP,30,"1779594330.604116 IP (tos 0x0, ttl 64, id 14594, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.604332,,,UDP,1500,"1779594330.604332 IP (tos 0x0, ttl 64, id 40678, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.604971,,,UDP,1500,"1779594330.604971 IP (tos 0x0, ttl 64, id 40679, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.605492,,,UDP,30,"1779594330.605492 IP (tos 0x0, ttl 64, id 14595, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.605602,,,UDP,1500,"1779594330.605602 IP (tos 0x0, ttl 64, id 40680, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.606223,,,UDP,30,"1779594330.606223 IP (tos 0x0, ttl 64, id 14596, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.606473,,,UDP,1500,"1779594330.606473 IP (tos 0x0, ttl 64, id 40681, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.607100,,,UDP,1500,"1779594330.607100 IP (tos 0x0, ttl 64, id 40682, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.607577,,,UDP,30,"1779594330.607577 IP (tos 0x0, ttl 64, id 14597, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.607899,,,UDP,30,"1779594330.607899 IP (tos 0x0, ttl 64, id 14598, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.608418,,,UDP,1500,"1779594330.608418 IP (tos 0x0, ttl 64, id 40683, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.609071,,,UDP,1500,"1779594330.609071 IP (tos 0x0, ttl 64, id 40684, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.655397,,,UDP,30,"1779594330.655397 IP (tos 0x0, ttl 64, id 14608, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.655749,,,UDP,30,"1779594330.655749 IP (tos 0x0, ttl 64, id 14609, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.657000,,,UDP,1500,"1779594330.657000 IP (tos 0x0, ttl 64, id 40689, offset 0, flags [+], proto UDP (17), length 1500)"
1779594330.657164,,,UDP,30,"1779594330.657164 IP (tos 0x0, ttl 64, id 14611, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.657993,,,UDP,30,"1779594330.657993 IP (tos 0x0, ttl 64, id 14612, offset 0, flags [DF], proto UDP (17), length 30)"
1779594330.658374,,,UDP,1500,"1779594330.658374 IP (tos 0x0, ttl 64, id 40690, offset 0, flags [+], proto UDP (17), length 1500)"
