timestamp_s,src,dst,protocolo,ip_len,info
1779594576.574130,,,UDP,63,"1779594576.574130 IP (tos 0x0, ttl 64, id 34344, offset 0, flags [DF], proto UDP (17), length 63)"
1779594576.674650,,,UDP,36,"1779594576.674650 IP (tos 0x0, ttl 64, id 42328, offset 0, flags [DF], proto UDP (17), length 36)"
1779594576.676407,,,UDP,1500,"1779594576.676407 IP (tos 0x0, ttl 64, id 34355, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.677934,,,UDP,1500,"1779594576.677934 IP (tos 0x0, ttl 64, id 34356, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.679421,,,UDP,1500,"1779594576.679421 IP (tos 0x0, ttl 64, id 34357, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.680564,,,UDP,1500,"1779594576.680564 IP (tos 0x0, ttl 64, id 34358, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.681687,,,UDP,1500,"1779594576.681687 IP (tos 0x0, ttl 64, id 34359, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.682413,,,UDP,1500,"1779594576.682413 IP (tos 0x0, ttl 64, id 34360, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.683352,,,UDP,1500,"1779594576.683352 IP (tos 0x0, ttl 64, id 34361, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.684155,,,UDP,1500,"1779594576.684155 IP (tos 0x0, ttl 64, id 34362, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.778100,,,UDP,29,"1779594576.778100 IP (tos 0x0, ttl 64, id 42332, offset 0, flags [DF], proto UDP (17), length 29)"
1779594576.779868,,,UDP,1500,"1779594576.779868 IP (tos 0x0, ttl 64, id 34367, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.780509,,,UDP,29,"1779594576.780509 IP (tos 0x0, ttl 64, id 42334, offset 0, flags [DF], proto UDP (17), length 29)"
1779594576.781752,,,UDP,1500,"1779594576.781752 IP (tos 0x0, ttl 64, id 34368, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.782374,,,UDP,29,"1779594576.782374 IP (tos 0x0, ttl 64, id 42336, offset 0, flags [DF], proto UDP (17), length 29)"
1779594576.782984,,,UDP,1500,"1779594576.782984 IP (tos 0x0, ttl 64, id 34369, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.784308,,,UDP,1500,"1779594576.784308 IP (tos 0x0, ttl 64, id 34370, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.784829,,,UDP,29,"1779594576.784829 IP (tos 0x0, ttl 64, id 42339, offset 0, flags [DF], proto UDP (17), length 29)"
1779594576.785215,,,UDP,1500,"1779594576.785215 IP (tos 0x0, ttl 64, id 34371, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.786005,,,UDP,1500,"1779594576.786005 IP (tos 0x0, ttl 64, id 34372, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.786857,,,UDP,1500,"1779594576.786857 IP (tos 0x0, ttl 64, id 34373, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.787678,,,UDP,1500,"1779594576.787678 IP (tos 0x0, ttl 64, id 34374, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.881304,,,UDP,29,"1779594576.881304 IP (tos 0x0, ttl 64, id 42351, offset 0, flags [DF], proto UDP (17), length 29)"
1779594576.882765,,,UDP,1500,"1779594576.882765 IP (tos 0x0, ttl 64, id 34393, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.882944,,,UDP,29,"1779594576.882944 IP (tos 0x0, ttl 64, id 42352, offset 0, flags [DF], proto UDP (17), length 29)"
1779594576.883745,,,UDP,1500,"1779594576.883745 IP (tos 0x0, ttl 64, id 34394, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.885261,,,UDP,30,"1779594576.885261 IP (tos 0x0, ttl 64, id 42354, offset 0, flags [DF], proto UDP (17), length 30)"
1779594576.886056,,,UDP,30,"1779594576.886056 IP (tos 0x0, ttl 64, id 42355, offset 0, flags [DF], proto UDP (17), length 30)"
1779594576.886056,,,UDP,1500,"1779594576.886056 IP (tos 0x0, ttl 64, id 34395, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.886787,,,UDP,1500,"1779594576.886787 IP (tos 0x0, ttl 64, id 34396, offset 0, flags [+], proto UDP (17), length 1500)"
1779594576.887533,,,UDP,30,"1779594576.887533 IP (tos 0x0, ttl 64, id 42357, offset 0, flags [DF], proto UDP (17), length 30)"
