timestamp_s,src,dst,protocolo,ip_len,info
1779630832.632795,,,TCP,60,"1779630832.632795 IP (tos 0x0, ttl 64, id 49764, offset 0, flags [DF], proto TCP (6), length 60)"
1779630832.643223,,,TCP,60,"1779630832.643223 IP (tos 0x0, ttl 64, id 0, offset 0, flags [DF], proto TCP (6), length 60)"
1779630832.643466,,,TCP,52,"1779630832.643466 IP (tos 0x0, ttl 64, id 49765, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.644282,,,TCP,88,"1779630832.644282 IP (tos 0x0, ttl 64, id 49766, offset 0, flags [DF], proto TCP (6), length 88)"
1779630832.654443,,,TCP,52,"1779630832.654443 IP (tos 0x0, ttl 64, id 13856, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.679589,,,TCP,2948,"1779630832.679589 IP (tos 0x0, ttl 64, id 49767, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.679619,,,TCP,1252,"1779630832.679619 IP (tos 0x0, ttl 64, id 49769, offset 0, flags [DF], proto TCP (6), length 1252)"
1779630832.680075,,,TCP,2948,"1779630832.680075 IP (tos 0x0, ttl 64, id 49770, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.680702,,,TCP,2948,"1779630832.680702 IP (tos 0x0, ttl 64, id 49772, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.680714,,,TCP,1500,"1779630832.680714 IP (tos 0x0, ttl 64, id 49774, offset 0, flags [DF], proto TCP (6), length 1500)"
1779630832.681135,,,TCP,2948,"1779630832.681135 IP (tos 0x0, ttl 64, id 49775, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.689715,,,TCP,52,"1779630832.689715 IP (tos 0x0, ttl 64, id 13857, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.689719,,,TCP,52,"1779630832.689719 IP (tos 0x0, ttl 64, id 13858, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.689802,,,TCP,2948,"1779630832.689802 IP (tos 0x0, ttl 64, id 49777, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.689833,,,TCP,2948,"1779630832.689833 IP (tos 0x0, ttl 64, id 49779, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.689882,,,TCP,2948,"1779630832.689882 IP (tos 0x0, ttl 64, id 49781, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.690226,,,TCP,52,"1779630832.690226 IP (tos 0x0, ttl 64, id 13859, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.690254,,,TCP,2948,"1779630832.690254 IP (tos 0x0, ttl 64, id 49783, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.690260,,,TCP,2948,"1779630832.690260 IP (tos 0x0, ttl 64, id 49785, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.690735,,,TCP,52,"1779630832.690735 IP (tos 0x0, ttl 64, id 13860, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.690737,,,TCP,52,"1779630832.690737 IP (tos 0x0, ttl 64, id 13861, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.690779,,,TCP,2948,"1779630832.690779 IP (tos 0x0, ttl 64, id 49787, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.690789,,,TCP,2948,"1779630832.690789 IP (tos 0x0, ttl 64, id 49789, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.690794,,,TCP,2948,"1779630832.690794 IP (tos 0x0, ttl 64, id 49791, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.691241,,,TCP,52,"1779630832.691241 IP (tos 0x0, ttl 64, id 13862, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.691279,,,TCP,2948,"1779630832.691279 IP (tos 0x0, ttl 64, id 49793, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.691284,,,TCP,2948,"1779630832.691284 IP (tos 0x0, ttl 64, id 49795, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.699998,,,TCP,52,"1779630832.699998 IP (tos 0x0, ttl 64, id 13863, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.700003,,,TCP,52,"1779630832.700003 IP (tos 0x0, ttl 64, id 13864, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.700004,,,TCP,52,"1779630832.700004 IP (tos 0x0, ttl 64, id 13865, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.700087,,,TCP,2948,"1779630832.700087 IP (tos 0x0, ttl 64, id 49797, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.700133,,,TCP,2948,"1779630832.700133 IP (tos 0x0, ttl 64, id 49799, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.700160,,,TCP,2948,"1779630832.700160 IP (tos 0x0, ttl 64, id 49801, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.700167,,,TCP,2948,"1779630832.700167 IP (tos 0x0, ttl 64, id 49803, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.727803,,,TCP,52,"1779630832.727803 IP (tos 0x0, ttl 64, id 13866, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727829,,,TCP,52,"1779630832.727829 IP (tos 0x0, ttl 64, id 13867, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727830,,,TCP,52,"1779630832.727830 IP (tos 0x0, ttl 64, id 13868, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727831,,,TCP,52,"1779630832.727831 IP (tos 0x0, ttl 64, id 13869, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727832,,,TCP,52,"1779630832.727832 IP (tos 0x0, ttl 64, id 13870, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727833,,,TCP,52,"1779630832.727833 IP (tos 0x0, ttl 64, id 13871, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727834,,,TCP,52,"1779630832.727834 IP (tos 0x0, ttl 64, id 13872, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727835,,,TCP,52,"1779630832.727835 IP (tos 0x0, ttl 64, id 13873, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727837,,,TCP,52,"1779630832.727837 IP (tos 0x0, ttl 64, id 13874, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727839,,,TCP,52,"1779630832.727839 IP (tos 0x0, ttl 64, id 13875, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.727840,,,TCP,52,"1779630832.727840 IP (tos 0x0, ttl 64, id 13876, offset 0, flags [DF], proto TCP (6), length 52)"
1779630832.728084,,,TCP,2948,"1779630832.728084 IP (tos 0x0, ttl 64, id 49805, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728454,,,TCP,2948,"1779630832.728454 IP (tos 0x0, ttl 64, id 49807, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728512,,,TCP,2948,"1779630832.728512 IP (tos 0x0, ttl 64, id 49809, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728531,,,TCP,2948,"1779630832.728531 IP (tos 0x0, ttl 64, id 49811, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728573,,,TCP,2948,"1779630832.728573 IP (tos 0x0, ttl 64, id 49813, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728584,,,TCP,2948,"1779630832.728584 IP (tos 0x0, ttl 64, id 49815, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728595,,,TCP,2948,"1779630832.728595 IP (tos 0x0, ttl 64, id 49817, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728606,,,TCP,2948,"1779630832.728606 IP (tos 0x0, ttl 64, id 49819, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728617,,,TCP,2948,"1779630832.728617 IP (tos 0x0, ttl 64, id 49821, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728805,,,TCP,2948,"1779630832.728805 IP (tos 0x0, ttl 64, id 49823, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728824,,,TCP,2948,"1779630832.728824 IP (tos 0x0, ttl 64, id 49825, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728838,,,TCP,2948,"1779630832.728838 IP (tos 0x0, ttl 64, id 49827, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728876,,,TCP,2948,"1779630832.728876 IP (tos 0x0, ttl 64, id 49829, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728891,,,TCP,2948,"1779630832.728891 IP (tos 0x0, ttl 64, id 49831, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728902,,,TCP,2948,"1779630832.728902 IP (tos 0x0, ttl 64, id 49833, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728914,,,TCP,2948,"1779630832.728914 IP (tos 0x0, ttl 64, id 49835, offset 0, flags [DF], proto TCP (6), length 2948)"
1779630832.728933,,,TCP,4396,"1779630832.728933 IP (tos 0x0, ttl 64, id 49837, offset 0, flags [DF], proto TCP (6), length 4396)"
