timestamp_s,src,dst,protocolo,ip_len,info
1779587667.769037,,,TCP,60,"1779587667.769037 IP (tos 0x0, ttl 64, id 47591, offset 0, flags [DF], proto TCP (6), length 60)"
1779587667.819297,,,TCP,60,"1779587667.819297 IP (tos 0x0, ttl 64, id 0, offset 0, flags [DF], proto TCP (6), length 60)"
1779587667.819411,,,TCP,52,"1779587667.819411 IP (tos 0x0, ttl 64, id 47592, offset 0, flags [DF], proto TCP (6), length 52)"
1779587667.819727,,,TCP,88,"1779587667.819727 IP (tos 0x0, ttl 64, id 47593, offset 0, flags [DF], proto TCP (6), length 88)"
1779587667.824323,,,TCP,2948,"1779587667.824323 IP (tos 0x0, ttl 64, id 47594, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.824945,,,TCP,2948,"1779587667.824945 IP (tos 0x0, ttl 64, id 47596, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.824973,,,TCP,1500,"1779587667.824973 IP (tos 0x0, ttl 64, id 47598, offset 0, flags [DF], proto TCP (6), length 1500)"
1779587667.825575,,,TCP,2948,"1779587667.825575 IP (tos 0x0, ttl 64, id 47599, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.825614,,,TCP,1500,"1779587667.825614 IP (tos 0x0, ttl 64, id 47601, offset 0, flags [DF], proto TCP (6), length 1500)"
1779587667.826167,,,TCP,1500,"1779587667.826167 IP (tos 0x0, ttl 64, id 47602, offset 0, flags [DF], proto TCP (6), length 1500)"
1779587667.870017,,,TCP,52,"1779587667.870017 IP (tos 0x0, ttl 64, id 64677, offset 0, flags [DF], proto TCP (6), length 52)"
1779587667.870114,,,TCP,2948,"1779587667.870114 IP (tos 0x0, ttl 64, id 47603, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.874634,,,TCP,52,"1779587667.874634 IP (tos 0x0, ttl 64, id 64678, offset 0, flags [DF], proto TCP (6), length 52)"
1779587667.874750,,,TCP,2948,"1779587667.874750 IP (tos 0x0, ttl 64, id 47605, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.874888,,,TCP,2948,"1779587667.874888 IP (tos 0x0, ttl 64, id 47607, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.875045,,,TCP,52,"1779587667.875045 IP (tos 0x0, ttl 64, id 64679, offset 0, flags [DF], proto TCP (6), length 52)"
1779587667.875048,,,TCP,52,"1779587667.875048 IP (tos 0x0, ttl 64, id 64680, offset 0, flags [DF], proto TCP (6), length 52)"
1779587667.875120,,,TCP,2948,"1779587667.875120 IP (tos 0x0, ttl 64, id 47609, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.875132,,,TCP,2948,"1779587667.875132 IP (tos 0x0, ttl 64, id 47611, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.875148,,,TCP,2948,"1779587667.875148 IP (tos 0x0, ttl 64, id 47613, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.875727,,,TCP,52,"1779587667.875727 IP (tos 0x0, ttl 64, id 64681, offset 0, flags [DF], proto TCP (6), length 52)"
1779587667.875735,,,TCP,52,"1779587667.875735 IP (tos 0x0, ttl 64, id 64682, offset 0, flags [DF], proto TCP (6), length 52)"
1779587667.875932,,,TCP,2948,"1779587667.875932 IP (tos 0x0, ttl 64, id 47615, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.875955,,,TCP,2948,"1779587667.875955 IP (tos 0x0, ttl 64, id 47617, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.876066,,,TCP,2948,"1779587667.876066 IP (tos 0x0, ttl 64, id 47619, offset 0, flags [DF], proto TCP (6), length 2948)"
1779587667.876253,,,TCP,52,"1779587667.876253 IP (tos 0x0, ttl 64, id 64683, offset 0, flags [DF], proto TCP (6), length 52)"
