timestamp_s,src,dst,protocolo,ip_len,info
1779589093.564125,,,TCP,60,"1779589093.564125 IP (tos 0x0, ttl 64, id 25400, offset 0, flags [DF], proto TCP (6), length 60)"
1779589093.664348,,,TCP,60,"1779589093.664348 IP (tos 0x0, ttl 64, id 0, offset 0, flags [DF], proto TCP (6), length 60)"
1779589093.664481,,,TCP,52,"1779589093.664481 IP (tos 0x0, ttl 64, id 25401, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.664781,,,TCP,88,"1779589093.664781 IP (tos 0x0, ttl 64, id 25402, offset 0, flags [DF], proto TCP (6), length 88)"
1779589093.674322,,,TCP,2948,"1779589093.674322 IP (tos 0x0, ttl 64, id 25403, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.674986,,,TCP,2948,"1779589093.674986 IP (tos 0x0, ttl 64, id 25405, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.675028,,,TCP,1500,"1779589093.675028 IP (tos 0x0, ttl 64, id 25407, offset 0, flags [DF], proto TCP (6), length 1500)"
1779589093.675380,,,TCP,2948,"1779589093.675380 IP (tos 0x0, ttl 64, id 25408, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.675391,,,TCP,1500,"1779589093.675391 IP (tos 0x0, ttl 64, id 25410, offset 0, flags [DF], proto TCP (6), length 1500)"
1779589093.675886,,,TCP,1500,"1779589093.675886 IP (tos 0x0, ttl 64, id 25411, offset 0, flags [DF], proto TCP (6), length 1500)"
1779589093.764937,,,TCP,52,"1779589093.764937 IP (tos 0x0, ttl 64, id 16918, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.765001,,,TCP,2948,"1779589093.765001 IP (tos 0x0, ttl 64, id 25412, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.774514,,,TCP,52,"1779589093.774514 IP (tos 0x0, ttl 64, id 16919, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.774582,,,TCP,2948,"1779589093.774582 IP (tos 0x0, ttl 64, id 25414, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.774621,,,TCP,2948,"1779589093.774621 IP (tos 0x0, ttl 64, id 25416, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.775062,,,TCP,52,"1779589093.775062 IP (tos 0x0, ttl 64, id 16921, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.775090,,,TCP,2948,"1779589093.775090 IP (tos 0x0, ttl 64, id 25418, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.775095,,,TCP,2948,"1779589093.775095 IP (tos 0x0, ttl 64, id 25420, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.775101,,,TCP,2948,"1779589093.775101 IP (tos 0x0, ttl 64, id 25422, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.775415,,,TCP,52,"1779589093.775415 IP (tos 0x0, ttl 64, id 16922, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.775416,,,TCP,52,"1779589093.775416 IP (tos 0x0, ttl 64, id 16923, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.775469,,,TCP,2948,"1779589093.775469 IP (tos 0x0, ttl 64, id 25424, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.775477,,,TCP,2948,"1779589093.775477 IP (tos 0x0, ttl 64, id 25426, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.775491,,,TCP,2948,"1779589093.775491 IP (tos 0x0, ttl 64, id 25428, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.775968,,,TCP,52,"1779589093.775968 IP (tos 0x0, ttl 64, id 16924, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.776035,,,TCP,2948,"1779589093.776035 IP (tos 0x0, ttl 64, id 25430, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.874811,,,TCP,52,"1779589093.874811 IP (tos 0x0, ttl 64, id 16926, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.874818,,,TCP,52,"1779589093.874818 IP (tos 0x0, ttl 64, id 16927, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.874938,,,TCP,2948,"1779589093.874938 IP (tos 0x0, ttl 64, id 25432, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875021,,,TCP,2948,"1779589093.875021 IP (tos 0x0, ttl 64, id 25434, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875091,,,TCP,2948,"1779589093.875091 IP (tos 0x0, ttl 64, id 25436, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875120,,,TCP,52,"1779589093.875120 IP (tos 0x0, ttl 64, id 16929, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.875122,,,TCP,52,"1779589093.875122 IP (tos 0x0, ttl 64, id 16930, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.875125,,,TCP,2948,"1779589093.875125 IP (tos 0x0, ttl 64, id 25438, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875233,,,TCP,2948,"1779589093.875233 IP (tos 0x0, ttl 64, id 25440, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875243,,,TCP,2948,"1779589093.875243 IP (tos 0x0, ttl 64, id 25442, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875264,,,TCP,2948,"1779589093.875264 IP (tos 0x0, ttl 64, id 25444, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875269,,,TCP,2948,"1779589093.875269 IP (tos 0x0, ttl 64, id 25446, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875289,,,TCP,2948,"1779589093.875289 IP (tos 0x0, ttl 64, id 25448, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875295,,,TCP,2948,"1779589093.875295 IP (tos 0x0, ttl 64, id 25450, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875404,,,TCP,2948,"1779589093.875404 IP (tos 0x0, ttl 64, id 25452, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875459,,,TCP,2948,"1779589093.875459 IP (tos 0x0, ttl 64, id 25454, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875502,,,TCP,52,"1779589093.875502 IP (tos 0x0, ttl 64, id 16931, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.875504,,,TCP,52,"1779589093.875504 IP (tos 0x0, ttl 64, id 16932, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.875505,,,TCP,52,"1779589093.875505 IP (tos 0x0, ttl 64, id 16933, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.875532,,,TCP,2948,"1779589093.875532 IP (tos 0x0, ttl 64, id 25456, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875536,,,TCP,2948,"1779589093.875536 IP (tos 0x0, ttl 64, id 25458, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875545,,,TCP,2948,"1779589093.875545 IP (tos 0x0, ttl 64, id 25460, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875547,,,TCP,2948,"1779589093.875547 IP (tos 0x0, ttl 64, id 25462, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875554,,,TCP,2948,"1779589093.875554 IP (tos 0x0, ttl 64, id 25464, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.875557,,,TCP,2948,"1779589093.875557 IP (tos 0x0, ttl 64, id 25466, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.876175,,,TCP,52,"1779589093.876175 IP (tos 0x0, ttl 64, id 16934, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.876229,,,TCP,2948,"1779589093.876229 IP (tos 0x0, ttl 64, id 25468, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.876235,,,TCP,2948,"1779589093.876235 IP (tos 0x0, ttl 64, id 25470, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.975187,,,TCP,52,"1779589093.975187 IP (tos 0x0, ttl 64, id 16935, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.975195,,,TCP,52,"1779589093.975195 IP (tos 0x0, ttl 64, id 16938, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.975314,,,TCP,2948,"1779589093.975314 IP (tos 0x0, ttl 64, id 25472, offset 0, flags [DF], proto TCP (6), length 2948)"
1779589093.975396,,,TCP,52,"1779589093.975396 IP (tos 0x0, ttl 64, id 16939, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.975398,,,TCP,52,"1779589093.975398 IP (tos 0x0, ttl 64, id 16940, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.975398,,,TCP,52,"1779589093.975398 IP (tos 0x0, ttl 64, id 16941, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.975399,,,TCP,52,"1779589093.975399 IP (tos 0x0, ttl 64, id 16942, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.975400,,,TCP,52,"1779589093.975400 IP (tos 0x0, ttl 64, id 16943, offset 0, flags [DF], proto TCP (6), length 52)"
1779589093.975430,,,TCP,52,"1779589093.975430 IP (tos 0x0, ttl 64, id 16944, offset 0, flags [DF], proto TCP (6), length 52)"
