timestamp_s,seq,evento
0.060969,0,ENVIADO
0.062966,1,ENVIADO
0.064311,2,ENVIADO
0.073797,3,ENVIADO
0.074725,4,ENVIADO
0.075546,5,ENVIADO
0.076357,6,ENVIADO
0.095565,7,ENVIADO
0.095645,0,ACK
0.096525,8,ENVIADO
0.09655,1,ACK
0.097266,9,ENVIADO
0.097301,2,ACK
0.097968,10,ENVIADO
0.097993,3,ACK
0.098623,11,ENVIADO
0.098644,4,ACK
0.099187,12,ENVIADO
0.099207,5,ACK
0.099727,13,ENVIADO
0.099747,6,ACK
0.100223,14,ENVIADO
0.106785,7,ACK
0.107798,15,ENVIADO
0.107833,8,ACK
0.108481,16,ENVIADO
0.1085,9,ACK
0.109053,17,ENVIADO
0.109072,10,ACK
0.135051,18,ENVIADO
0.135114,11,ACK
0.136328,19,ENVIADO
0.136361,12,ACK
0.137478,20,ENVIADO
0.137512,13,ACK
0.138769,21,ENVIADO
0.138813,14,ACK
0.13988,22,ENVIADO
0.139907,15,ACK
0.140461,23,ENVIADO
0.140475,16,ACK
0.140961,24,ENVIADO
0.140976,17,ACK
0.141649,25,ENVIADO
0.146513,18,ACK
0.147433,26,ENVIADO
0.147465,19,ACK
0.148296,27,ENVIADO
0.148314,20,ACK
0.148961,28,ENVIADO
0.150595,21,ACK
0.151493,29,ENVIADO
0.151566,22,ACK
0.152344,30,ENVIADO
0.152362,23,ACK
0.152876,31,ENVIADO
0.152892,24,ACK
0.153556,32,ENVIADO
0.153695,25,ACK
0.154509,33,ENVIADO
0.158604,26,ACK
0.159498,34,ENVIADO
0.159567,27,ACK
0.160256,35,ENVIADO
0.160275,28,ACK
0.160905,36,ENVIADO
0.162573,29,ACK
0.163653,37,ENVIADO
0.163686,30,ACK
0.174704,38,ENVIADO
0.174752,31,ACK
0.175824,39,ENVIADO
0.17585,32,ACK
0.176436,40,ENVIADO
0.176544,33,ACK
0.177221,41,ENVIADO
0.177238,34,ACK
0.177916,42,ENVIADO
0.177932,35,ACK
0.195799,43,ENVIADO
0.195839,36,ACK
