timestamp_s,bytes_recebidos_no_recv,total_acumulado
0.03437,4096,4096
0.035591,2896,6992
0.036317,4096,11088
0.037159,3144,14232
0.054656,2896,17128
0.055429,4096,21224
0.057054,4096,25320
0.058128,4096,29416
0.068347,4096,33512
0.070802,4096,37608
0.105594,4096,41704
0.121485,4096,45800
0.144781,4096,49896
0.146269,4096,53992
0.146941,4096,58088
0.14733,4096,62184
0.147722,4096,66280
0.14821,4096,70376
0.148884,4096,74472
0.149512,4096,78568
0.149975,4096,82664
0.1504,4096,86760
0.151062,4096,90856
0.151519,4096,94952
0.151934,4096,99048
0.152709,4096,103144
0.152987,4096,107240
0.153584,4096,111336
0.154356,4096,115432
0.154792,4096,119528
0.155149,4096,123624
0.155785,4096,127720
0.157188,4096,131816
0.158483,4096,135912
0.159498,4096,140008
0.160566,4096,144104
0.161633,4096,148200
0.162424,4096,152296
0.162788,4096,156392
0.163069,4096,160488
0.163379,4096,164584
0.163675,2400,166984
0.164712,4096,171080
0.169172,248,171328
0.172893,4096,175424
0.176468,248,175672
0.177401,4096,179768
0.17817,3352,183120
0.179219,4096,187216
0.179862,248,187464
0.180253,4096,191560
0.180979,4096,195656
0.181681,496,196152
0.182492,4096,200248
0.183081,3144,203392
0.183836,4096,207488
0.184642,4096,211584
0.185702,1408,212992
0.186052,2896,215888
0.186444,4096,219984
0.187088,248,220232
0.187746,4096,224328
0.188357,4096,228424
0.189033,4096,232520
0.189713,3640,236160
0.190485,4096,240256
0.191075,248,240504
0.191964,4096,244600
0.192752,248,244848
0.193319,4096,248944
0.193907,4096,253040
0.194429,4096,257136
0.195166,744,257880
0.195181,3064,260944
0.196441,4096,265040
0.197379,248,265288
0.1979,4096,269384
0.198444,4096,273480
0.199,4096,277576
0.19973,744,278320
0.199748,2896,281216
0.20086,4096,285312
0.201662,248,285560
0.202407,4096,289656
0.203132,4096,293752
0.203588,4096,297848
0.204382,744,298592
0.204911,4096,302688
0.205857,3312,306000
0.206742,4096,310096
0.207477,248,310344
0.208255,4096,314440
0.208785,4096,318536
0.209182,4096,322632
0.21023,744,323376
0.21025,2896,326272
0.211091,4096,330368
0.211614,248,330616
0.212232,4096,334712
0.212838,248,334960
0.213394,4096,339056
0.214019,4096,343152
0.214805,496,343648
0.215486,4096,347744
0.215993,3312,351056
0.216575,4096,355152
0.217434,248,355400
0.218176,4096,359496
0.218867,4096,363592
0.219251,4096,367688
0.219958,3640,371328
0.22131,4096,375424
0.221982,248,375672
0.222764,4096,379768
0.223653,4096,383864
0.224439,496,384360
0.225127,4096,388456
0.22583,4096,392552
0.226634,3560,396112
0.227362,4096,400208
0.228157,248,400456
0.228966,4096,404552
0.229702,4096,408648
0.230814,4096,412744
0.231649,3640,416384
0.232512,4096,420480
0.233109,4096,424576
0.233867,4096,428672
0.234328,4096,432768
0.235005,992,433760
0.235746,4096,437856
0.236543,416,438272
0.236568,2896,441168
