protocolo,cenario,tamanho_bytes,tempo_s,vazao_mbps,retransmissoes,pkts_dados,pkts_controle,eficiencia
R-UDP,A,1048576,0.496475,16.896336,0,256,256,0.5
R-UDP,A,1048576,0.386276,21.716603,0,256,256,0.5
R-UDP,A,1048576,0.525237,15.971103,0,256,256,0.5
R-UDP,A,1048576,0.543039,15.447528,0,256,256,0.5
R-UDP,A,1048576,0.430027,19.507165,0,256,256,0.5
R-UDP,B,1048576,1.800951,4.657876,0,256,226,0.53112
R-UDP,B,1048576,1.795443,4.672167,0,256,232,0.52459
R-UDP,B,1048576,1.801025,4.657686,0,256,232,0.52459
R-UDP,B,1048576,11.854832,0.707611,2,256,233,0.521385
R-UDP,B,1048576,1.7907,4.68454,0,256,230,0.526749
R-UDP,C,1048576,3.512552,2.38818,0,256,201,0.560175
R-UDP,C,1048576,4.211235,1.991959,1,256,220,0.536688
R-UDP,C,1048576,3.51912,2.383723,0,256,198,0.563877
R-UDP,C,1048576,3.619797,2.317425,0,256,204,0.556522
R-UDP,C,1048576,3.649483,2.298574,0,256,214,0.544681
