protocolo,cenario,tamanho_bytes,tempo_s,vazao_mbps,retransmissoes,pkts_dados,pkts_controle,eficiencia
TCP,A,1048576,0.192988,43.467011,0,0,0,1.0
TCP,A,1048576,0.107139,78.296761,0,0,0,1.0
TCP,A,1048576,0.150887,55.59512,0,0,0,1.0
TCP,A,1048576,0.090237,92.962056,0,0,0,1.0
TCP,A,1048576,0.189431,44.283252,0,0,0,1.0
TCP,B,1048576,0.268096,31.289571,0,0,0,1.0
TCP,B,1048576,0.256572,32.694885,0,0,0,1.0
TCP,B,1048576,0.265137,31.638773,0,0,0,1.0
TCP,B,1048576,0.23056,36.383575,0,0,0,1.0
TCP,B,1048576,0.263455,31.840801,0,0,0,1.0
TCP,C,1048576,0.537273,15.613308,0,0,0,1.0
TCP,C,1048576,0.552732,15.176641,0,0,0,1.0
TCP,C,1048576,0.524004,16.008665,0,0,0,1.0
TCP,C,1048576,0.517004,16.225414,0,0,0,1.0
TCP,C,1048576,0.53098,15.798361,0,0,0,1.0
